k,side,h,n,mean,se,period
0.5,long,1,685,0.0010837523966048634,0.0011871300929964766,development
0.5,long,2,685,0.002599867379822961,0.001685665206364055,development
0.5,long,3,685,0.0020423301824807746,0.0020069437270076374,development
0.5,long,4,685,0.0006462346561246229,0.0022702653941194337,development
0.5,long,5,685,6.63733316512951e-05,0.0024744270949442013,development
0.5,long,6,685,-0.00019401650008534112,0.0027503086097094066,development
0.5,long,7,685,-0.0005255796375625542,0.002839411604555117,development
0.5,long,8,685,-0.0020625620158441754,0.0030565020037631283,development
0.5,long,9,685,-0.001247758005612544,0.0032519040444392573,development
0.5,long,10,685,-0.0016465574640805486,0.0033485132610071985,development
0.5,short,1,628,0.0012636966894533136,0.0011074941166048322,development
0.5,short,2,628,0.0003747850675538949,0.0016228123953263543,development
0.5,short,3,628,0.0008020167766551568,0.0019061811233819937,development
0.5,short,4,628,0.001884546719421996,0.0021521387258594347,development
0.5,short,5,628,0.002759842112263672,0.0024965626748810277,development
0.5,short,6,628,0.004641965098839443,0.0026733155079128527,development
0.5,short,7,628,0.006417836740896276,0.0029683000120866113,development
0.5,short,8,628,0.007042482457632177,0.0032155540841707123,development
0.5,short,9,628,0.0053100373265542265,0.003379595000970771,development
0.5,short,10,628,0.0063985433310966506,0.003629999598560872,development
0.5,edge,1,1313,-3.9018377229512104e-05,0.0008152976866317495,development
0.5,edge,2,1313,0.0011771090119991493,0.0011732355615909243,development
0.5,edge,3,1313,0.0006818961456663311,0.0013883757585122004,development
0.5,edge,4,1313,-0.0005642228487065088,0.0015689991690952258,development
0.5,edge,5,1313,-0.001285388510525856,0.0017582678443672914,development
0.5,edge,6,1313,-0.002321443552650137,0.0019221506910112544,development
0.5,edge,7,1313,-0.0033438107578166107,0.0020526474748935237,development
0.5,edge,8,1313,-0.0044444280001875594,0.00221564687785727,development
0.5,edge,9,1313,-0.003190721763077416,0.0023430906960385817,development
0.5,edge,10,1313,-0.003919403712737145,0.002462898379462594,development
0.75,long,1,494,0.002414920703841527,0.0013969132113927436,development
0.75,long,2,494,0.004446295219043879,0.0019827748682630575,development
0.75,long,3,494,0.0022512288918860772,0.0024061994299507247,development
0.75,long,4,494,0.0017851922438957882,0.0026916840233615733,development
0.75,long,5,494,0.0014708798193131215,0.002933582080857066,development
0.75,long,6,494,0.0021431271557838523,0.0032596193594843907,development
0.75,long,7,494,0.0015473978154706418,0.0034315145539913923,development
0.75,long,8,494,-8.253476738008441e-05,0.0036699622679363503,development
0.75,long,9,494,0.001236196215745797,0.003942684171508455,development
0.75,long,10,494,0.000982082507438399,0.00400333938900156,development
0.75,short,1,476,0.002104493571636538,0.0012556338991245313,development
0.75,short,2,476,-0.0007841901831075683,0.0018815479057206928,development
0.75,short,3,476,-0.001634245493189499,0.002199776209394799,development
0.75,short,4,476,0.00021877621966322926,0.002456632135943207,development
0.75,short,5,476,0.0006223046135553094,0.002893784243838304,development
0.75,short,6,476,0.002170731435174082,0.003123449102226884,development
0.75,short,7,476,0.003538305037139281,0.00340999354975664,development
0.75,short,8,476,0.004608224887007404,0.0036893061474984573,development
0.75,short,9,476,0.0027706329196815404,0.0038475292393679323,development
0.75,short,10,476,0.002907854663397777,0.004167137826233771,development
0.75,edge,1,970,0.00019714627587497113,0.0009434693700003011,development
0.75,edge,2,970,0.0026492209952235874,0.0013688349645745947,development
0.75,edge,3,970,0.0019484617807731172,0.0016322672458345044,development
0.75,edge,4,970,0.000801801533943116,0.0018248377808555527,development
0.75,edge,5,970,0.0004437089017405714,0.0020604215765978916,development
0.75,edge,6,970,2.6223352385938317e-05,0.0022593418042532814,development
0.75,edge,7,970,-0.0009482666771503105,0.0024196802697021924,development
0.75,edge,8,970,-0.002303388887939469,0.002601770454187809,development
0.75,edge,9,970,-0.0007300415867938033,0.0027555151849867187,development
0.75,edge,10,970,-0.0009267938774255382,0.0028868129179047504,development
1.0,long,1,371,0.002458496600566368,0.0016589753689944824,development
1.0,long,2,371,0.004749269384819827,0.002368440137013102,development
1.0,long,3,371,0.003746610517138814,0.002843636286232468,development
1.0,long,4,371,0.002648011243932181,0.0032178646243421647,development
1.0,long,5,371,0.00255571690457976,0.0034849744581517544,development
1.0,long,6,371,0.0030473515988230005,0.003857404918077014,development
1.0,long,7,371,0.0030817685715610684,0.004077666387093658,development
1.0,long,8,371,0.0007965565211430707,0.004286314279250553,development
1.0,long,9,371,0.0010911999808441717,0.0045724134982210755,development
1.0,long,10,371,0.0019199555965070344,0.0046576784052493525,development
1.0,short,1,356,0.002993767974696974,0.0015366503206456705,development
1.0,short,2,356,-0.0006549334723438315,0.002304041068117198,development
1.0,short,3,356,-0.0007786897449550016,0.002679513445975019,development
1.0,short,4,356,0.001266494635294757,0.003006982875114144,development
1.0,short,5,356,0.0013412992865061697,0.003454534251409663,development
1.0,short,6,356,0.003948197627309977,0.003714669617134311,development
1.0,short,7,356,0.006307442580424963,0.004000853730345562,development
1.0,short,8,356,0.0071969268264233605,0.004359061316404289,development
1.0,short,9,356,0.005701292804786148,0.0045499597797812345,development
1.0,short,10,356,0.006069142737807322,0.004897761170434205,development
1.0,edge,1,727,-0.00021138811579367295,0.0011364077128669346,development
1.0,edge,2,727,0.0027443401071837134,0.0016540274321756845,development
1.0,edge,3,727,0.0022932682958218442,0.0019558293521964427,development
1.0,edge,4,727,0.0007311417900053718,0.0022053014194600077,development
1.0,edge,5,727,0.0006474118646532238,0.002453853016801687,development
1.0,edge,6,727,-0.00037825434959975123,0.0026815594867506745,development
1.0,edge,7,727,-0.0015159744409657912,0.0028613868375636986,development
