year,config_id,factors,lookback,m,k,H,policy,direction_mode,train_sharpe,test_sharpe,test_return,switch_cost,n_new_trades
2011,GLD|L250|m1|k0.5|H2|A|rev,GLD,250,1,0.5,2,A_run_out,reversion,1.1798735501507596,1.4822013490442818,0.44003826379776,0.0,99
2012,GLD|L250|m1|k0.5|H2|A|rev,GLD,250,1,0.5,2,A_run_out,reversion,1.212099748752144,-0.5767046603184238,-0.13392281532287598,0.0,81
2013,GLD|L250|m1|k0.5|H3|A|rev,GLD,250,1,0.5,3,A_run_out,reversion,1.0920377324081632,-1.1363329954345527,-0.4901164174079895,0.0,70
2014,GLD|L250|m1|k0.5|H2|A|rev,GLD,250,1,0.5,2,A_run_out,reversion,0.873941046269996,0.08293402068045068,0.029894988983869553,0.0,85
2015,GLD|L120|m2|k0.5|H2|A|rev,GLD,120,2,0.5,2,A_run_out,reversion,0.8671531067646142,-0.5071319912444328,-0.19321952760219574,-0.0002,86
2016,SPY+GLD|L120|m1|k0.75|H3|B|rev,SPY+GLD,120,1,0.75,3,B_reset_flip,reversion,0.7353521295677518,0.15568005576065108,0.06647610664367676,0.0,71
2017,GLD|L40|m1|k1|H3|A|rev,GLD,40,1,1.0,3,A_run_out,reversion,0.7069257294119454,-1.7791251951573244,-0.3217729330062866,0.0,42
2018,GLD|L20|m1|k0.75|H3|A|rev,GLD,20,1,0.75,3,A_run_out,reversion,0.7162750763016662,-0.3475788365405957,-0.07624003291130066,0.0,58
2019,GLD|L20|m1|k0.75|H2|A|rev,GLD,20,1,0.75,2,A_run_out,reversion,0.7513483738597526,0.10834901670001423,0.02291281521320343,0.0,69
2020,SPY+GLD+TLT|L250|m2|k1|H1|A|rev,SPY+GLD+TLT,250,2,1.0,1,A_run_out,reversion,0.9673770338572614,-0.8495920343425601,-0.3653758764266968,0.0002,49
2021,SPY+GLD|L60|m1|k0.5|H3|B|rev,SPY+GLD,60,1,0.5,3,B_reset_flip,reversion,0.45181501229072585,1.197999678042473,0.32421237230300903,-0.0002,77
